Swapping columns 3, 5: Best Score: -1417.581320, Score: -1434.583588, Score: -1435.297799 Undoing swap!
Swapping columns 4, 6: Best Score: -1417.581320, Score: -1431.338945, Score: -1424.697704 Undoing swap!
Swapping columns 5, 7: Best Score: -1417.581320, Score: -1431.926762, Score: -1444.509714 Undoing swap!
Swapping columns 6, 8: Best Score: -1417.581320, Score: -1441.969116, Score: -1439.259672 Undoing swap!
Swapping columns 7, 9: Best Score: -1417.581320, Score: -1430.956013, Score: -1426.720970 Undoing swap!
Swapping columns 8, 10: Best Score: -1417.581320, Score: -1423.598482, Score: -1438.740606 Undoing swap!
Swapping columns 9, 11: Best Score: -1417.581320, Score: -1429.824122, Score: -1438.370109 Undoing swap!
Swapping columns 10, 12: Best Score: -1417.581320, Score: -1434.110960, Score: -1441.470525 Undoing swap!
Swapping columns 11, 13: Best Score: -1417.581320, Score: -1435.252602, Score: -1436.718796 Undoing swap!
Swapping columns 12, 14: Best Score: -1417.581320, Score: -1438.942203, Score: -1436.972456 Undoing swap!
Swapping columns 13, 15: Best Score: -1417.581320, Score: -1442.418891, Score: -1442.608904 Undoing swap!
Swapping columns 14, 16: Best Score: -1417.581320, Score: -1440.380734, Score: -1439.762551 Undoing swap!
Swapping columns 0, 3: Best Score: -1417.581320, Score: -1435.450972, Score: -1439.319432 Undoing swap!
Swapping columns 1, 4: Best Score: -1417.581320, Score: -1442.192257, Score: -1434.308633 Undoing swap!
Swapping columns 2, 5: Best Score: -1417.581320, Score: -1429.484280, Score: -1436.243531 Undoing swap!
Swapping columns 3, 6: Best Score: -1417.581320, Score: -1440.699564, Score: -1440.941168 Undoing swap!
Swapping columns 4, 7: Best Score: -1417.581320, Score: -1442.236955, Score: -1446.633575 Undoing swap!
Swapping columns 5, 8: Best Score: -1417.581320, Score: -1431.295715, Score: -1438.538868 Undoing swap!
Swapping columns 6, 9: Best Score: -1417.581320, Score: -1430.940423, Score: -1434.195167 Undoing swap!
Swapping columns 7, 10: Best Score: -1417.581320, Score: -1430.538470, Score: -1426.917660 Undoing swap!
Swapping columns 8, 11: Best Score: -1417.581320, Score: -1441.424533, Score: -1431.153063 Undoing swap!
Swapping columns 9, 12: Best Score: -1417.581320, Score: -1428.888630, Score: -1431.282036 Undoing swap!
Swapping columns 10, 13: Best Score: -1417.581320, Score: -1423.535434, Score: -1430.017149 Undoing swap!
Swapping columns 11, 14: Best Score: -1417.581320, Score: -1428.879555, Score: -1430.471023 Undoing swap!
Swapping columns 12, 15: Best Score: -1417.581320, Score: -1440.394365, Score: -1436.776615 Undoing swap!
Swapping columns 13, 16: Best Score: -1417.581320, Score: -1439.212617, Score: -1437.211843 Undoing swap!
Swapping columns 0, 4: Best Score: -1417.581320, Score: -1435.146499, Score: -1436.468144 Undoing swap!
Swapping columns 1, 5: Best Score: -1417.581320, Score: -1433.592510, Score: -1435.553986 Undoing swap!
Swapping columns 2, 6: Best Score: -1417.581320, Score: -1432.753697, Score: -1442.024401 Undoing swap!
Swapping columns 3, 7: Best Score: -1417.581320, Score: -1428.770075, Score: -1439.728389 Undoing swap!
Swapping columns 4, 8: Best Score: -1417.581320, Score: -1441.286451, Score: -1441.647055 Undoing swap!
Swapping columns 5, 9: Best Score: -1417.581320, Score: -1436.005678, Score: -1440.204977 Undoing swap!
Swapping columns 6, 10: Best Score: -1417.581320, Score: -1429.171937, Score: -1428.553371 Undoing swap!
Swapping columns 7, 11: Best Score: -1417.581320, Score: -1438.160566, Score: -1427.536895 Undoing swap!
Swapping columns 8, 12: Best Score: -1417.581320, Score: -1422.148195, Score: -1424.573772 Undoing swap!
Swapping columns 9, 13: Best Score: -1417.581320, Score: -1432.380593, Score: -1432.891516 Undoing swap!
Swapping columns 10, 14: Best Score: -1417.581320, Score: -1439.286079, Score: -1428.851938 Undoing swap!
Swapping columns 11, 15: Best Score: -1417.581320, Score: -1434.309207, Score: -1432.863784 Undoing swap!
Swapping columns 12, 16: Best Score: -1417.581320, Score: -1433.080203, Score: -1432.642963 Undoing swap!
Swapping columns 0, 5: Best Score: -1417.581320, Score: -1441.881853, Score: -1433.061694 Undoing swap!
Swapping columns 1, 6: Best Score: -1417.581320, Score: -1435.431871, Score: -1436.056669 Undoing swap!
Swapping columns 2, 7: Best Score: -1417.581320, Score: -1436.807478, Score: -1430.520011 Undoing swap!
Swapping columns 3, 8: Best Score: -1417.581320, Score: -1428.555048, Score: -1429.806045 Undoing swap!
Swapping columns 4, 9: Best Score: -1417.581320, Score: -1435.948578, Score: -1444.132774 Undoing swap!
Swapping columns 5, 10: Best Score: -1417.581320, Score: -1425.703021, Score: -1427.818461 Undoing swap!
Swapping columns 6, 11: Best Score: -1417.581320, Score: -1434.541157, Score: -1433.887606 Undoing swap!
Swapping columns 7, 12: Best Score: -1417.581320, Score: -1424.668864, Score: -1427.774501 Undoing swap!
Swapping columns 8, 13: Best Score: -1417.581320, Score: -1442.478580, Score: -1436.739823 Undoing swap!
Swapping columns 9, 14: Best Score: -1417.581320, Score: -1432.147943, Score: -1437.375018 Undoing swap!
Swapping columns 10, 15: Best Score: -1417.581320, Score: -1433.760620, Score: -1442.780954 Undoing swap!
Swapping columns 11, 16: Best Score: -1417.581320, Score: -1433.548158, Score: -1430.918979 Undoing swap!
Swapping columns 0, 6: Best Score: -1417.581320, Score: -1436.311957, Score: -1434.562954 Undoing swap!
Swapping columns 1, 7: Best Score: -1417.581320, Score: -1430.179375, Score: -1433.014083 Undoing swap!
Swapping columns 2, 8: Best Score: -1417.581320, Score: -1429.194556, Score: -1441.720304 Undoing swap!
Swapping columns 3, 9: Best Score: -1417.581320, Score: -1431.529867, Score: -1429.412780 Undoing swap!
Swapping columns 4, 10: Best Score: -1417.581320, Score: -1447.019520, Score: -1432.921782 Undoing swap!
Swapping columns 5, 11: Best Score: -1417.581320, Score: -1443.507601, Score: -1438.863742 Undoing swap!
Swapping columns 6, 12: Best Score: -1417.581320, Score: -1433.823723, Score: -1426.714154 Undoing swap!
Swapping columns 7, 13: Best Score: -1417.581320, Score: -1425.950719, Score: -1431.161582 Undoing swap!
Swapping columns 8, 14: Best Score: -1417.581320, Score: -1438.238169, Score: -1430.519472 Undoing swap!
Swapping columns 9, 15: Best Score: -1417.581320, Score: -1435.760178, Score: -1436.210778 Undoing swap!
Swapping columns 10, 16: Best Score: -1417.581320, Score: -1436.038480, Score: -1433.692051 Undoing swap!
Swapping columns 0, 7: Best Score: -1417.581320, Score: -1441.374057, Score: -1432.553761 Undoing swap!
Swapping columns 1, 8: Best Score: -1417.581320, Score: -1430.848284, Score: -1437.664573 Undoing swap!
Swapping columns 2, 9: Best Score: -1417.581320, Score: -1427.980363, Score: -1440.018266 Undoing swap!
Swapping columns 3, 10: Best Score: -1417.581320, Score: -1423.823274, Score: -1424.115370 Undoing swap!
Swapping columns 4, 11: Best Score: -1417.581320, Score: -1440.528854, Score: -1436.931472 Undoing swap!
Swapping columns 5, 12: Best Score: -1417.581320, Score: -1430.806315, Score: -1441.018167 Undoing swap!
Swapping columns 6, 13: Best Score: -1417.581320, Score: -1429.294169, Score: -1436.049871 Undoing swap!
Swapping columns 7, 14: Best Score: -1417.581320, Score: -1430.729037, Score: -1433.082455 Undoing swap!
Swapping columns 8, 15: Best Score: -1417.581320, Score: -1435.489172, Score: -1435.659911 Undoing swap!
Swapping columns 9, 16: Best Score: -1417.581320, Score: -1434.045483, Score: -1442.121095 Undoing swap!
Swapping columns 0, 8: Best Score: -1417.581320, Score: -1441.497107, Score: -1442.178456 Undoing swap!
Swapping columns 1, 9: Best Score: -1417.581320, Score: -1443.199182, Score: -1435.162282 Undoing swap!
Swapping columns 2, 10: Best Score: -1417.581320, Score: -1435.826692, Score: -1436.971182 Undoing swap!
Swapping columns 3, 11: Best Score: -1417.581320, Score: -1442.578687, Score: -1419.177229 Undoing swap!
Swapping columns 4, 12: Best Score: -1417.581320, Score: -1438.603117, Score: -1443.562452 Undoing swap!
Swapping columns 5, 13: Best Score: -1417.581320, Score: -1438.015155, Score: -1436.043069 Undoing swap!
Swapping columns 6, 14: Best Score: -1417.581320, Score: -1429.027793, Score: -1433.416411 Undoing swap!
Swapping columns 7, 15: Best Score: -1417.581320, Score: -1436.096427, Score: -1438.334263 Undoing swap!
Swapping columns 8, 16: Best Score: -1417.581320, Score: -1438.860818, Score: -1437.513923 Undoing swap!
Swapping columns 0, 9: Best Score: -1417.581320, Score: -1439.213991, Score: -1433.780919 Undoing swap!
Swapping columns 1, 10: Best Score: -1417.581320, Score: -1434.900724, Score: -1426.214804 Undoing swap!
Swapping columns 2, 11: Best Score: -1417.581320, Score: -1437.049773, Score: -1433.058297 Undoing swap!
Swapping columns 3, 12: Best Score: -1417.581320, Score: -1437.003348, Score: -1433.364778 Undoing swap!
Swapping columns 4, 13: Best Score: -1417.581320, Score: -1441.253717, Score: -1431.554909 Undoing swap!
Swapping columns 5, 14: Best Score: -1417.581320, Score: -1427.729661, Score: -1433.258407 Undoing swap!
Swapping columns 6, 15: Best Score: -1417.581320, Score: -1447.225827, Score: -1438.725230 Undoing swap!
Swapping columns 7, 16: Best Score: -1417.581320, Score: -1448.858788, Score: -1431.349730 Undoing swap!
Swapping columns 0, 10: Best Score: -1417.581320, Score: -1437.567617, Score: -1438.462863 Undoing swap!
Swapping columns 1, 11: Best Score: -1417.581320, Score: -1438.409156, Score: -1431.995701 Undoing swap!
Swapping columns 2, 12: Best Score: -1417.581320, Score: -1429.033894, Score: -1428.031783 Undoing swap!
