Swapping columns 7, 14: Best Score: -1075.348717, Score: -1096.344050, Score: -1088.747369 Undoing swap!
Swapping columns 8, 15: Best Score: -1075.348717, Score: -1094.829942, Score: -1095.124307 Undoing swap!
Swapping columns 9, 16: Best Score: -1075.348717, Score: -1079.392815, Score: -1090.219705 Undoing swap!
Swapping columns 0, 8: Best Score: -1075.348717, Score: -1094.651416, Score: -1087.802184 Undoing swap!
Swapping columns 1, 9: Best Score: -1075.348717, Score: -1099.640596, Score: -1091.814503 Undoing swap!
Swapping columns 2, 10: Best Score: -1075.348717, Score: -1103.283432, Score: -1092.331703 Undoing swap!
Swapping columns 3, 11: Best Score: -1075.348717, Score: -1100.357016, Score: -1098.270475 Undoing swap!
Swapping columns 4, 12: Best Score: -1075.348717, Score: -1094.153744, Score: -1097.642729 Undoing swap!
Swapping columns 5, 13: Best Score: -1075.348717, Score: -1095.763162, Score: -1084.419640 Undoing swap!
Swapping columns 6, 14: Best Score: -1075.348717, Score: -1084.945858, Score: -1085.143757 Undoing swap!
Swapping columns 7, 15: Best Score: -1075.348717, Score: -1085.296290, Score: -1097.560118 Undoing swap!
Swapping columns 8, 16: Best Score: -1075.348717, Score: -1097.973838, Score: -1089.584274 Undoing swap!
Swapping columns 0, 9: Best Score: -1075.348717, Score: -1090.262377, Score: -1095.494953 Undoing swap!
Swapping columns 1, 10: Best Score: -1075.348717, Score: -1091.155954, Score: -1088.723101 Undoing swap!
Swapping columns 2, 11: Best Score: -1075.348717, Score: -1091.162218, Score: -1093.775889 Undoing swap!
Swapping columns 3, 12: Best Score: -1075.348717, Score: -1090.766232, Score: -1098.818397 Undoing swap!
Swapping columns 4, 13: Best Score: -1075.348717, Score: -1084.966490, Score: -1095.304031 Undoing swap!
Swapping columns 5, 14: Best Score: -1075.348717, Score: -1094.908928, Score: -1092.303602 Undoing swap!
Swapping columns 6, 15: Best Score: -1075.348717, Score: -1098.200683, Score: -1082.353365 Undoing swap!
Swapping columns 7, 16: Best Score: -1075.348717, Score: -1084.196831, Score: -1090.362770 Undoing swap!
Swapping columns 0, 10: Best Score: -1075.348717, Score: -1092.105355, Score: -1095.616995 Undoing swap!
Swapping columns 1, 11: Best Score: -1075.348717, Score: -1095.751224, Score: -1094.250034 Undoing swap!
Swapping columns 2, 12: Best Score: -1075.348717, Score: -1098.616369, Score: -1103.880644 Undoing swap!
Swapping columns 3, 13: Best Score: -1075.348717, Score: -1089.114038, Score: -1085.282468 Undoing swap!
Swapping columns 4, 14: Best Score: -1075.348717, Score: -1080.537208, Score: -1084.957076 Undoing swap!
Swapping columns 5, 15: Best Score: -1075.348717, Score: -1083.939010, Score: -1084.689904 Undoing swap!
Swapping columns 6, 16: Best Score: -1075.348717, Score: -1096.313897, Score: -1088.166316 Undoing swap!
Swapping columns 0, 11: Best Score: -1075.348717, Score: -1090.721950, Score: -1091.805226 Undoing swap!
Swapping columns 1, 12: Best Score: -1075.348717, Score: -1103.493429, Score: -1087.669867 Undoing swap!
Swapping columns 2, 13: Best Score: -1075.348717, Score: -1089.761357, Score: -1087.072966 Undoing swap!
Swapping columns 3, 14: Best Score: -1075.348717, Score: -1084.330513, Score: -1093.929211 Undoing swap!
Swapping columns 4, 15: Best Score: -1075.348717, Score: -1092.738069, Score: -1087.351312 Undoing swap!
Swapping columns 5, 16: Best Score: -1075.348717, Score: -1092.459461, Score: -1100.139767 Undoing swap!
Swapping columns 0, 12: Best Score: -1075.348717, Score: -1091.384611, Score: -1092.974015 Undoing swap!
Swapping columns 1, 13: Best Score: -1075.348717, Score: -1105.702820, Score: -1099.472522 Undoing swap!
Swapping columns 2, 14: Best Score: -1075.348717, Score: -1093.991080, Score: -1096.500105 Undoing swap!
Swapping columns 3, 15: Best Score: -1075.348717, Score: -1088.733170, Score: -1089.543252 Undoing swap!
Swapping columns 4, 16: Best Score: -1075.348717, Score: -1082.230516, Score: -1079.788825 Undoing swap!
Swapping columns 0, 13: Best Score: -1075.348717, Score: -1084.518120, Score: -1095.815922 Undoing swap!
Swapping columns 1, 14: Best Score: -1075.348717, Score: -1091.848040, Score: -1091.638320 Undoing swap!
Swapping columns 2, 15: Best Score: -1075.348717, Score: -1101.765157, Score: -1091.273446 Undoing swap!
Swapping columns 3, 16: Best Score: -1075.348717, Score: -1102.031827, Score: -1105.058203 Undoing swap!
Swapping columns 0, 14: Best Score: -1075.348717, Score: -1091.875698, Score: -1097.351374 Undoing swap!
Swapping columns 1, 15: Best Score: -1075.348717, Score: -1090.016400, Score: -1084.256434 Undoing swap!
Swapping columns 2, 16: Best Score: -1075.348717, Score: -1091.420307, Score: -1090.723218 Undoing swap!
Swapping columns 0, 15: Best Score: -1075.348717, Score: -1079.886522, Score: -1078.978059 Undoing swap!
Swapping columns 1, 16: Best Score: -1075.348717, Score: -1095.733058, Score: -1099.138536 Undoing swap!
Swapping columns 0, 16: Best Score: -1075.348717, Score: -1095.637885, Score: -1091.182039 Undoing swap!
Observations:
